#proc cat nGausRV nGausWV
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_0 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_1 3 3
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_10 1 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_11 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_2 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_3 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_4 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_5 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_6 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_7 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_8 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_9 3 1
