#proc cat nGausRV nGausWV
ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_0 4 1
ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_1 3 1
ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_10 4 1
ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_11 3 1
ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_2 4 1
ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_3 4 1
ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_4 4 1
ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_5 3 1
ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_6 4 1
ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_7 4 1
ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_8 4 1
ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_9 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_0 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_1 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_10 3 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_11 2 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_2 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_3 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_4 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_5 3 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_6 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_7 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_8 4 1
GluGluToHHTo2B2G_node_SM_13TeV_madgraph DoubleHTag_9 4 1
GluGluHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_0 4 1
GluGluHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_1 4 1
GluGluHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_10 4 1
GluGluHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_11 2 1
GluGluHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_2 -1 -1 ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_2
GluGluHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_3 -1 -1 ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_3
GluGluHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_4 4 1
GluGluHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_5 2 1
GluGluHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_6 -1 -1 ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_6
GluGluHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_7 -1 -1 ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_7
GluGluHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_8 1 1
GluGluHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_9 3 1
VBFHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_0 3 1
VBFHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_1 4 1
VBFHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_10 4 1
VBFHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_11 -1 -1 ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_11
VBFHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_2 -1 -1 ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_2
VBFHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_3 -1 -1 ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_3
VBFHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_4 4 1
VBFHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_5 4 1
VBFHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_6 1 1
VBFHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_7 -1 -1 ttHToGG_M125_13TeV_powheg_pythia8_v2 DoubleHTag_7
VBFHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_8 3 1
VBFHToGG_M_125_13TeV_powheg_pythia8 DoubleHTag_9 3 1
